CODIGO_DANE,NUM_HABITANTES,MUNICIPIO,NOM_DEPARTAMENTO,LATITUD,LONGITUD
11001,7776845,"Bogotá, D.C.","Bogotá, D.C.",4.6,-74.0833
5001,2441123,Medellín,Antioquia,6.2914,-75.5361
76001,2344734,Cali,Valle del Cauca,3.4372,-76.5225
8001,1212943,Barranquilla,Atlántico,10.9639,-74.7964
13001,990179,Cartagena,Bolívar,10.3997,-75.5144
54001,643666,Cúcuta,Norte de Santander,7.8833,-72.5053
8758,599012,Soledad,Atlántico,10.9172,-74.7667
73001,548209,Ibagué,Tolima,4.4389,-75.2322
68001,527451,Bucaramanga,Santander,7.1297,-73.1258
25754,500097,Soacha,Cundinamarca,4.5872,-74.2214
47001,476385,Santa Marta,Magdalena,11.2472,-74.2017
50001,473766,Villavicencio,Meta,4.1533,-73.635
66001,467185,Pereira,Risaralda,4.8133,-75.6961
5088,447185,Bello,Antioquia,6.3389,-75.5622
20001,443210,Valledupar,Cesar,10.4769,-73.2506
23001,434950,Montería,Córdoba,8.7575,-75.89
52001,434486,Pasto,Nariño,1.2147,-77.2786
17001,394627,Manizales,Caldas,5.07,-75.5206
76109,392054,Buenaventura,Valle del Cauca,3.8933,-77.0697
41001,340046,Neiva,Huila,2.9306,-75.3303
76520,302727,Palmira,Valle del Cauca,3.5394,-76.3036
63001,295143,Armenia,Quindio,4.5339,-75.6811
19001,275129,Popayán,Cauca,3.2775,-75.6214
70001,271375,Sincelejo,Sucre,9.3047,-75.3978
5360,264775,Itagui,Antioquia,6.1719,-75.6114
68276,264695,Floridablanca,Santander,7.0647,-73.0897
44001,250236,Riohacha,La Guajira,11.5444,-72.9072
5266,217343,Envigado,Antioquia,6.1731,-75.5639
76834,209086,Tuluá,Valle del Cauca,4.0867,-76.2
